PollenDist	MaxPollenDist	WDivFathers
7.1178446	14.4878	0.1796875
7.9125886	13.48218	0.16
6.5926886	9.741928	0.20710059
6.619222	11.500871	0.2361111
6.458571	13.241779	0.20221607
5.585846	12.54267	0.14197531
3.8206768	9.455741	0.26530612
4.032436	12.0280075	0.4338843
4.736846	7.464585	0.5
5.128439	11.42441	0.17355372
10.839824	22.470612	0.20710059
8.119403	22.210144	0.16955018
5.388602	14.207719	0.44
6.1257725	14.479297	0.1597633
10.108508	28.597445	0.2361111
6.4070315	9.467052	0.18367347
5.4738135	9.813163	0.1734694
6.4426064	14.13902	0.2109375
2.210016	4.4619613	0.76
6.6739674	18.176054	0.17355372
8.095698	12.786688	0.2361111
3.5615819	11.959234	0.24074075
5.3521647	13.539009	0.216
3.6446416	22.222452	0.25443786
7.1656117	10.991704	0.21893491
5.2730074	15.318049	0.16049382
4.2595115	6.5642753	0.29012346
5.6856794	10.274314	0.16
7.697656	19.073368	0.28
8.731547	13.408111	0.08884688
5.6274033	11.684244	0.12888889
9.92081	13.685152	0.275
9.083445	22.551353	0.1456
12.528924	30.036434	0.2
7.173766	10.260664	0.25
6.138249	9.814379	0.15570934
7.8293695	12.908403	0.12471655
4.773232	8.224045	0.30612245
8.834361	19.589964	0.15689981
5.3639607	6.1084137	0.375
8.5197315	12.058597	0.25
6.038835	8.950559	0.14930555
5.996326	12.594311	0.24793388
4.2653446	11.868029	0.18559557
8.136153	19.91767	0.14285715
8.270029	19.847616	0.17451523
10.932821	23.566381	0.12802768
6.529068	8.601667	0.20415226
4.1649647	7.2794137	0.30612245
3.0674388	7.331044	0.2777778
2.283576	5.886205	0.50617284
5.19779	10.985496	0.15570934
4.104818	5.037668	0.33673468
8.544348	16.941248	0.16049382
5.741223	12.314897	0.18934911
6.9990597	13.095018	0.14666666
6.3487654	16.657549	0.21883656
6.524969	19.334202	0.10493827
8.064494	10.60682	0.22222222
7.722991	12.327553	0.171875
8.304996	13.37164	0.18518518
5.0805945	16.560177	0.1597633
2.8411992	5.4535394	0.30193907
3.5136814	7.831613	0.2777778
5.8447146	14.497057	0.15192744
4.4097605	8.690747	0.21088435
9.684513	18.684662	0.074074075
5.305609	14.227516	0.15625
9.516995	15.211488	0.15625
6.204441	11.259026	0.23469388
4.8052096	8.57766	0.3877551
4.0275517	9.039184	0.22
6.4130955	12.247718	0.104
8.742851	26.922577	0.2132964
5.150057	13.782808	0.31
6.1177993	14.838358	0.2244898
9.600565	22.495462	0.3580247
4.5859647	15.036038	0.31855956
4.519632	19.114937	0.165
4.5713434	11.640355	0.296875
4.2944965	4.9140325	0.3888889
6.6831923	17.177822	0.46296296
6.008135	17.581318	0.17283951
3.430775	4.5768	0.43801653
5.84814	11.401369	0.2
2.452903	8.296029	0.29338843
2.5218623	2.5218625	1.0
6.570811	16.56125	0.17
4.786265	8.21166	0.12962963
6.16768	18.468916	0.17333333
7.133809	14.77402	0.140625
6.0436077	18.842823	0.28395063
4.5129833	13.930307	0.20634921
3.726114	12.158053	0.2734375
5.676238	8.27704	0.171875
6.809081	18.318789	0.18222222
5.082306	6.1725636	0.2662722
5.042653	12.360337	0.23
3.706349	7.5127587	0.18
7.34956	18.318686	0.21180555
5.952588	14.999832	0.25619835
4.57936	9.912283	0.3632
7.703388	16.840275	0.12244898
5.4906874	10.186526	0.20661157
2.1390102	4.8920074	0.3877551
3.2642965	8.10568	0.2231405
4.744208	7.2047806	0.2777778
5.170446	12.110388	0.22222222
4.973856	11.305036	0.235
4.7938485	14.980797	0.18055555
4.726041	13.315297	0.22222222
4.81355	12.954869	0.342155
5.3821316	20.386183	0.2711111
9.826308	20.23985	0.12
3.2777553	14.193729	0.19822486
2.4692595	7.331446	0.2578125
8.775663	18.130022	0.10059172
4.019331	22.670841	0.264
3.960592	6.497252	0.23469388
8.444359	18.36165	0.24380165
2.083885	11.549161	0.47448015
5.626009	12.3043	0.20164609
3.6582143	11.836799	0.29591838
6.532276	12.0731735	0.17913832
5.072183	8.287038	0.138322
4.733157	8.174201	0.145
5.7106605	9.221979	0.16666667
7.1440797	21.084528	0.14127424
6.855893	19.381033	0.2244898
5.4784656	12.476024	0.21799308
4.1814566	10.254446	0.25333333
6.0232277	19.135296	0.23545706
5.805946	10.269428	0.22117202
6.916979	17.147797	0.16666667
8.281846	17.661089	0.22873347
2.7033384	2.8482008	0.5510204
3.0155385	10.422642	0.305
4.943662	10.266228	0.1800554
4.656863	16.283817	0.26530612
1.5980237	2.505739	0.58
6.365795	11.143053	0.21107267
9.540037	23.550901	0.17355372
NaN	0.0	NaN
5.256079	12.765644	0.33333334
10.174551	21.055702	0.105
4.8142695	14.916131	0.14933838
4.228529	7.958061	0.13265306
5.832629	23.45961	0.14128944
4.5130067	18.374094	0.15432099
6.1921115	13.109938	0.19387755
10.123528	16.430155	0.18367347
9.124661	30.133976	0.30193907
4.0557313	11.20565	0.34072024
4.1396427	11.700113	0.44378698
8.357343	17.174316	0.1734694
3.7490783	10.736635	0.15
5.2277193	14.132751	0.105
7.1754045	12.037967	0.25
7.144221	9.6396	0.40444446
6.507942	11.781941	0.17355372
5.908051	12.430805	0.18055555
6.2341485	14.827055	0.12666667
4.9578876	10.139359	0.40444446
5.9549594	10.817968	0.12809917
4.1963367	9.442268	0.17333333
8.778724	15.477812	0.23076923
4.7160406	11.514313	0.18181819
4.032409	18.080956	0.2361111
2.6854196	7.7006125	0.553719
9.355734	26.723581	0.09
7.852655	16.99808	0.14878893
4.1560683	5.822523	0.36
10.304454	19.554707	0.20710059
5.139991	34.19807	0.22873347
8.314557	16.59962	0.22
8.125995	11.472431	0.2231405
6.098068	8.553633	0.21875
4.1089487	14.708933	0.23555556
7.1334333	15.962226	0.14177693
3.2145998	8.282172	0.20118344
4.9919147	7.441044	0.25
5.323793	14.11237	0.175
5.951697	8.523687	0.25
4.5986257	12.6746435	0.60946745
7.239441	14.919829	0.112426035
8.78032	15.212199	0.14186852
4.1752515	7.382527	0.6296296
6.7613053	32.570568	0.23545706
6.2028418	10.601936	0.14666666
2.9661758	9.529249	0.28061223
7.140324	24.571768	0.25259516
5.408352	14.749412	0.15789473
4.105242	7.6930065	0.32544377
6.7739625	20.291872	0.121527776
5.34244	8.696051	0.17159763
4.4090514	14.019848	0.42
